id,submissionLink,submitters,emails,isVideo
154,１２３,̗̺͖̹̯͓Ṯ̤͍̥͇͈h̲́e͏͓̼̗̙̼̣͔ ͇̜̱̠͓͍ͅN͕͠e̗̱z̘̝̜̺͙p̤̺̹͍̯͚e̠̻̠͜r̨̤͍̺̖͔̖̖d̠̟̭̬̝͟i̦͖̩͓͔̤a̠̗̬͉̙n͚͜ ̻̞̰͚ͅh̵͉i̳̞v̢͇ḙ͎͟-҉̭̩̼͔m̤̭̫i͕͇̝̦n̗͙ḍ̟ ̯̲͕͞ǫ̟̯̰̲͙̻̝f ̪̰̰̗̖̭̘͘c̦͍̲̞͍̩̙ḥ͚a̮͎̟̙͜ơ̩̹͎s̤.̝̝ ҉Z̡̖̜͖̰̣͉̜a͖̰͙̬͡l̲̫̳͍̩g̡̟̼̱͚̞̬ͅo̗͜.̟,nil,false
155,🚾 🆒 🆓 🆕 🆖 🆗 🆙 🏧,␡,NULL,false
156,˙ɐnbᴉlɐ ɐuƃɐɯ ǝɹolop ʇǝ ǝɹoqɐl ʇn ʇunpᴉpᴉɔuᴉ ɹodɯǝʇ poɯsnᴉǝ op pǝs 'ʇᴉlǝ ƃuᴉɔsᴉdᴉpɐ ɹnʇǝʇɔǝsuoɔ 'ʇǝɯɐ ʇᴉs ɹolop ɯnsdᴉ ɯǝɹo˥,-1E2,和製漢語,true
157,⁰⁴⁵₀₁₂,`⁄€‹›ﬁﬂ‡°·‚—±,␢,false
158,../../../../../../../../../../../etc/hosts,"'""'",() { 0; }; touch /tmp/blns.shellshock1.fail;,false
159,👾 🙇 💁 🙅 🙆 🙋 🙎 🙍 ,Ω≈ç√∫˜µ≤≥÷,-1E2,true
160,00˙Ɩ$-,⁦test⁧,nil,true
161,-1E+02,Ω≈ç√∫˜µ≤≥÷,999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999,false
162,-$1.00,١٢٣,‪‪test‪,false
163,ÅÍÎÏ˝ÓÔÒÚÆ☃,田中さんにあげて下さい,ÅÍÎÏ˝ÓÔÒÚÆ☃,false
164,１２３,0/0,"""""",false
165,﻿,",。・:*:・゜’( ☻ ω ☻ )。・:*:・゜’",❤️ 💔 💌 💕 💞 💓 💗 💖 💘 💝 💟 💜 💛 💚 💙,false
166,test⁠test‫,-1E02,1E2,true
167,⁰⁴⁵₀₁₂,😍,﻿,false
168,nil,̗̺͖̹̯͓Ṯ̤͍̥͇͈h̲́e͏͓̼̗̙̼̣͔ ͇̜̱̠͓͍ͅN͕͠e̗̱z̘̝̜̺͙p̤̺̹͍̯͚e̠̻̠͜r̨̤͍̺̖͔̖̖d̠̟̭̬̝͟i̦͖̩͓͔̤a̠̗̬͉̙n͚͜ ̻̞̰͚ͅh̵͉i̳̞v̢͇ḙ͎͟-҉̭̩̼͔m̤̭̫i͕͇̝̦n̗͙ḍ̟ ̯̲͕͞ǫ̟̯̰̲͙̻̝f ̪̰̰̗̖̭̘͘c̦͍̲̞͍̩̙ḥ͚a̮͎̟̙͜ơ̩̹͎s̤.̝̝ ҉Z̡̖̜͖̰̣͉̜a͖̰͙̬͡l̲̫̳͍̩g̡̟̼̱͚̞̬ͅo̗͜.̟,"""""",false
169,(｡◕ ∀ ◕｡),␣,¸˛Ç◊ı˜Â¯˘¿,true
170,-1E2,1E2,ﾟ･✿ヾ╲(｡◕‿◕｡)╱✿･ﾟ,false
171,⁰⁴⁵,$1.00,NULL,false
172,⁰⁴⁵₀₁₂,"__ﾛ(,_,*)",˙ɐnbᴉlɐ ɐuƃɐɯ ǝɹolop ʇǝ ǝɹoqɐl ʇn ʇunpᴉpᴉɔuᴉ ɹodɯǝʇ poɯsnᴉǝ op pǝs 'ʇᴉlǝ ƃuᴉɔsᴉdᴉpɐ ɹnʇǝʇɔǝsuoɔ 'ʇǝɯɐ ʇᴉs ɹolop ɯnsdᴉ ɯǝɹo˥,true
173,0.00,​,울란바토르,true
174,¡™£¢∞§¶•ªº–≠,Ω≈ç√∫˜µ≤≥÷,̗̺͖̹̯͓Ṯ̤͍̥͇͈h̲́e͏͓̼̗̙̼̣͔ ͇̜̱̠͓͍ͅN͕͠e̗̱z̘̝̜̺͙p̤̺̹͍̯͚e̠̻̠͜r̨̤͍̺̖͔̖̖d̠̟̭̬̝͟i̦͖̩͓͔̤a̠̗̬͉̙n͚͜ ̻̞̰͚ͅh̵͉i̳̞v̢͇ḙ͎͟-҉̭̩̼͔m̤̭̫i͕͇̝̦n̗͙ḍ̟ ̯̲͕͞ǫ̟̯̰̲͙̻̝f ̪̰̰̗̖̭̘͘c̦͍̲̞͍̩̙ḥ͚a̮͎̟̙͜ơ̩̹͎s̤.̝̝ ҉Z̡̖̜͖̰̣͉̜a͖̰͙̬͡l̲̫̳͍̩g̡̟̼̱͚̞̬ͅo̗͜.̟,true
175,"בְּרֵאשִׁית, בָּרָא אֱלֹהִים, אֵת הַשָּׁמַיִם, וְאֵת הָאָרֶץ",​,-1/2,false
176,"""'""'""''''""", test ,✋🏿 💪🏿 👐🏿 🙌🏿 👏🏿 🙏🏿,false
177,/dev/null; touch /tmp/blns.fail ; echo,-1,̡͓̞ͅI̗̘̦͝n͇͇͙v̮̫ok̲̫̙͈i̖͙̭̹̠̞n̡̻̮̣̺g̲͈͙̭͙̬͎ ̰t͔̦h̞̲e̢̤ ͍̬̲͖f̴̘͕̣è͖ẹ̥̩l͖͔͚i͓͚̦͠n͖͍̗͓̳̮g͍ ̨o͚̪͡f̘̣̬ ̖̘͖̟͙̮c҉͔̫͖͓͇͖ͅh̵̤̣͚͔á̗̼͕ͅo̼̣̥s̱͈̺̖̦̻͢.̛̖̞̠̫̰,false
178,<img src=x onerror=alert('hi') />,울란바토르,test⁠test‫,true
179,"""'""'""''''""",‪‪test‪,../../../../../../../../../../../etc/passwd%00,false
180,1E02,/dev/null; touch /tmp/blns.fail ; echo,社會科學院語學研究所,false
181,ﾟ･✿ヾ╲(｡◕‿◕｡)╱✿･ﾟ,1E2,Ω≈ç√∫˜µ≤≥÷,false
182,$1.00,../../../../../../../../../../../etc/passwd%00,-1/2,false
183,1E02,1,-1/2,true
184,1E2,../../../../../../../../../../../etc/hosts,⁰⁴⁵,true
185,"""",̦H̬̤̗̤͝e͜ ̜̥̝̻͍̟́w̕h̖̯͓o̝͙̖͎̱̮ ҉̺̙̞̟͈W̷̼̭a̺̪͍į͈͕̭͙̯̜t̶̼̮s̘͙͖̕ ̠̫̠B̻͍͙͉̳ͅe̵h̵̬͇̫͙i̹͓̳̳̮͎̫̕n͟d̴̪̜̖ ̰͉̩͇͙̲͞ͅT͖̼͓̪͢h͏͓̮̻e̬̝̟ͅ ̤̹̝W͙̞̝͔͇͝ͅa͏͓͔̹̼̣l̴͔̰̤̟͔ḽ̫.͕,Ω≈ç√∫˜µ≤≥÷,true
186,​,-1.00,,true
187,1,１２３,𠜎𠜱𠝹𠱓𠱸𠲖𠳏,true
188,⁦test⁧,nil,和製漢語,false
189,¸˛Ç◊ı˜Â¯˘¿,-1E02,Ṱ̺̺̕o͞ ̷i̲̬͇̪͙n̝̗͕v̟̜̘̦͟o̶̙̰̠kè͚̮̺̪̹̱̤ ̖t̝͕̳̣̻̪͞h̼͓̲̦̳̘̲e͇̣̰̦̬͎ ̢̼̻̱̘h͚͎͙̜̣̲ͅi̦̲̣̰̤v̻͍e̺̭̳̪̰-m̢iͅn̖̺̞̲̯̰d̵̼̟͙̩̼̘̳ ̞̥̱̳̭r̛̗̘e͙p͠r̼̞̻̭̗e̺̠̣͟s̘͇̳͍̝͉e͉̥̯̞̲͚̬͜ǹ̬͎͎̟̖͇̤t͍̬̤͓̼̭͘ͅi̪̱n͠g̴͉ ͏͉ͅc̬̟h͡a̫̻̯͘o̫̟̖͍̙̝͉s̗̦̲.̨̹͈̣,true
190,-1,Z̮̞̠͙͔ͅḀ̗̞͈̻̗Ḷ͙͎̯̹̞͓G̻O̭̗̮,",。・:*:・゜’( ☻ ω ☻ )。・:*:・゜’",false
191,・(￣∀￣)・:*:,`⁄€‹›ﬁﬂ‡°·‚—±,"""""",false
192,0/0,-1E+02,😍,false
193,﻿,👩🏽,"'""'",true
194,田中さんにあげて下さい,<script>alert('hi')</script>,𠜎𠜱𠝹𠱓𠱸𠲖𠳏,true
195,‫test‫,﻿,00˙Ɩ$-,false
196,👩🏽, ,1E2,false
197,✋🏿 💪🏿 👐🏿 🙌🏿 👏🏿 🙏🏿,"""""",﻿,true
198,1.00,../../../../../../../../../../../etc/passwd%00,(╯°□°）╯︵ ┻━┻)  ,true
199,0.00,✋🏿 💪🏿 👐🏿 🙌🏿 👏🏿 🙏🏿,"<>?:""{}|_+",true
200,👩🏽, ,test⁠test‫,false
201,👾 🙇 💁 🙅 🙆 🙋 🙎 🙍 ,👩🏽,🚾 🆒 🆓 🆕 🆖 🆗 🆙 🏧,true
202,/dev/null; touch /tmp/blns.fail ; echo,和製漢語,åß∂ƒ©˙∆˚¬…æ,false
203,1/2,Ṱ̺̺̕o͞ ̷i̲̬͇̪͙n̝̗͕v̟̜̘̦͟o̶̙̰̠kè͚̮̺̪̹̱̤ ̖t̝͕̳̣̻̪͞h̼͓̲̦̳̘̲e͇̣̰̦̬͎ ̢̼̻̱̘h͚͎͙̜̣̲ͅi̦̲̣̰̤v̻͍e̺̭̳̪̰-m̢iͅn̖̺̞̲̯̰d̵̼̟͙̩̼̘̳ ̞̥̱̳̭r̛̗̘e͙p͠r̼̞̻̭̗e̺̠̣͟s̘͇̳͍̝͉e͉̥̯̞̲͚̬͜ǹ̬͎͎̟̖͇̤t͍̬̤͓̼̭͘ͅi̪̱n͠g̴͉ ͏͉ͅc̬̟h͡a̫̻̯͘o̫̟̖͍̙̝͉s̗̦̲.̨̹͈̣,　,false
204,　,社會科學院語學研究所,"__ﾛ(,_,*)",false
205,999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999,Ṱ̺̺̕o͞ ̷i̲̬͇̪͙n̝̗͕v̟̜̘̦͟o̶̙̰̠kè͚̮̺̪̹̱̤ ̖t̝͕̳̣̻̪͞h̼͓̲̦̳̘̲e͇̣̰̦̬͎ ̢̼̻̱̘h͚͎͙̜̣̲ͅi̦̲̣̰̤v̻͍e̺̭̳̪̰-m̢iͅn̖̺̞̲̯̰d̵̼̟͙̩̼̘̳ ̞̥̱̳̭r̛̗̘e͙p͠r̼̞̻̭̗e̺̠̣͟s̘͇̳͍̝͉e͉̥̯̞̲͚̬͜ǹ̬͎͎̟̖͇̤t͍̬̤͓̼̭͘ͅi̪̱n͠g̴͉ ͏͉ͅc̬̟h͡a̫̻̯͘o̫̟̖͍̙̝͉s̗̦̲.̨̹͈̣,-1E+02,true
206,1E+02,１２３,١٢٣,true
207,Œ„´‰ˇÁ¨ˆØ∏”’,1E2,"__ﾛ(,_,*)",false
208,"בְּרֵאשִׁית, בָּרָא אֱלֹהִים, אֵת הַשָּׁמַיִם, וְאֵת הָאָרֶץ",../../../../../../../../../../../etc/passwd%00,😍,true
209,-1,'',␣,true
210,"""'""'""''''""",・(￣∀￣)・:*:,👾 🙇 💁 🙅 🙆 🙋 🙎 🙍 ,false
211,パーティーへ行かないか,() { 0; }; touch /tmp/blns.shellshock1.fail;,null,false
212,Œ„´‰ˇÁ¨ˆØ∏”’,​,‫test‫,false
213,() { 0; }; touch /tmp/blns.shellshock1.fail;,1.00,울란바토르,true
214,0/0,　,Ṱ̺̺̕o͞ ̷i̲̬͇̪͙n̝̗͕v̟̜̘̦͟o̶̙̰̠kè͚̮̺̪̹̱̤ ̖t̝͕̳̣̻̪͞h̼͓̲̦̳̘̲e͇̣̰̦̬͎ ̢̼̻̱̘h͚͎͙̜̣̲ͅi̦̲̣̰̤v̻͍e̺̭̳̪̰-m̢iͅn̖̺̞̲̯̰d̵̼̟͙̩̼̘̳ ̞̥̱̳̭r̛̗̘e͙p͠r̼̞̻̭̗e̺̠̣͟s̘͇̳͍̝͉e͉̥̯̞̲͚̬͜ǹ̬͎͎̟̖͇̤t͍̬̤͓̼̭͘ͅi̪̱n͠g̴͉ ͏͉ͅc̬̟h͡a̫̻̯͘o̫̟̖͍̙̝͉s̗̦̲.̨̹͈̣,false
215,ﾟ･✿ヾ╲(｡◕‿◕｡)╱✿･ﾟ,🐵 🙈 🙉 🙊,"<>?:""{}|_+",true
216,1,ÅÍÎÏ˝ÓÔÒÚÆ☃,`⁄€‹›ﬁﬂ‡°·‚—±,true
217,() { _; } >_[$($())] { touch /tmp/blns.shellshock2.fail; },1;DROP TABLE users,ﾟ･✿ヾ╲(｡◕‿◕｡)╱✿･ﾟ,false
218,1/2,<img src=x onerror=alert('hi') />,1,false
219,社會科學院語學研究所,NULL,Ṱ̺̺̕o͞ ̷i̲̬͇̪͙n̝̗͕v̟̜̘̦͟o̶̙̰̠kè͚̮̺̪̹̱̤ ̖t̝͕̳̣̻̪͞h̼͓̲̦̳̘̲e͇̣̰̦̬͎ ̢̼̻̱̘h͚͎͙̜̣̲ͅi̦̲̣̰̤v̻͍e̺̭̳̪̰-m̢iͅn̖̺̞̲̯̰d̵̼̟͙̩̼̘̳ ̞̥̱̳̭r̛̗̘e͙p͠r̼̞̻̭̗e̺̠̣͟s̘͇̳͍̝͉e͉̥̯̞̲͚̬͜ǹ̬͎͎̟̖͇̤t͍̬̤͓̼̭͘ͅi̪̱n͠g̴͉ ͏͉ͅc̬̟h͡a̫̻̯͘o̫̟̖͍̙̝͉s̗̦̲.̨̹͈̣,true
220,0.00,⁰⁴⁵,‪‪test‪,true
221,👾 🙇 💁 🙅 🙆 🙋 🙎 🙍 ,1/2,NULL,true
222,사회과학원 어학연구소,NIL,和製漢語,true
223,👩🏽,🐵 🙈 🙉 🙊,"__ﾛ(,_,*)",true
224,社會科學院語學研究所,<script>alert('hi')</script>,"""",true
225,사회과학원 어학연구소,울란바토르,ヽ༼ຈل͜ຈ༽ﾉ ヽ༼ຈل͜ຈ༽ﾉ ,true
226,(｡◕ ∀ ◕｡),-1/2,Z̮̞̠͙͔ͅḀ̗̞͈̻̗Ḷ͙͎̯̹̞͓G̻O̭̗̮,false
227,田中さんにあげて下さい,0/0,null,false
228,👩🏽,・(￣∀￣)・:*:,울란바토르,true
229,1E+02,̦H̬̤̗̤͝e͜ ̜̥̝̻͍̟́w̕h̖̯͓o̝͙̖͎̱̮ ҉̺̙̞̟͈W̷̼̭a̺̪͍į͈͕̭͙̯̜t̶̼̮s̘͙͖̕ ̠̫̠B̻͍͙͉̳ͅe̵h̵̬͇̫͙i̹͓̳̳̮͎̫̕n͟d̴̪̜̖ ̰͉̩͇͙̲͞ͅT͖̼͓̪͢h͏͓̮̻e̬̝̟ͅ ̤̹̝W͙̞̝͔͇͝ͅa͏͓͔̹̼̣l̴͔̰̤̟͔ḽ̫.͕,"ثم نفس سقطت وبالتحديد،, جزيرتي باستخدام أن دنو. إذ هنا؟ الستار وتنصيب كان. أهّل ايطاليا، بريطانيا-فرنسا قد أخذ. سليمان، إتفاقية بين ما, يذكر الحدود أي بعد, معاملة بولندا، الإطلاق عل إيو.",true
230,"""''''""'""",0.00,‪‪test‪,false
231,-1E2,"""''''""'""",-1E+02,false
232,åß∂ƒ©˙∆˚¬…æ,　,ﾟ･✿ヾ╲(｡◕‿◕｡)╱✿･ﾟ,true
233,⁦test⁧,˙ɐnbᴉlɐ ɐuƃɐɯ ǝɹolop ʇǝ ǝɹoqɐl ʇn ʇunpᴉpᴉɔuᴉ ɹodɯǝʇ poɯsnᴉǝ op pǝs 'ʇᴉlǝ ƃuᴉɔsᴉdᴉpɐ ɹnʇǝʇɔǝsuoɔ 'ʇǝɯɐ ʇᴉs ɹolop ɯnsdᴉ ɯǝɹo˥,null,false
234,⁰⁴⁵₀₁₂,1/0,1,false
235,和製漢語,הָיְתָהtestالصفحات التّحول,../../../../../../../../../../../etc/passwd%00,true
236,␡,␡,・(￣∀￣)・:*:,true
237,⁰⁴⁵₀₁₂,ヽ༼ຈل͜ຈ༽ﾉ ヽ༼ຈل͜ຈ༽ﾉ , test ,true
238,1.00,(｡◕ ∀ ◕｡),0.00,false
239,¡™£¢∞§¶•ªº–≠,<svg><script>0<1>alert('XSS')</script>,‪‪test‪,true
240,-1,␡,(｡◕ ∀ ◕｡),false
241,❤️ 💔 💌 💕 💞 💓 💗 💖 💘 💝 💟 💜 💛 💚 💙,null,",./;'[]\-=",true
242,null,١٢٣,Œ„´‰ˇÁ¨ˆØ∏”’,true
243,0/0,åß∂ƒ©˙∆˚¬…æ,nil,true
244,사회과학원 어학연구소,0/0,../../../../../../../../../../../etc/passwd%00,true
245,␢,١٢٣,‪‪test‪,true
246,1E2,/dev/null; touch /tmp/blns.fail ; echo,1/0,false
247,😍,｀ｨ(´∀｀∩,１２３,false
248,() { _; } >_[$($())] { touch /tmp/blns.shellshock2.fail; },｀ｨ(´∀｀∩,"""''''""'""",false
249,() { 0; }; touch /tmp/blns.shellshock1.fail;,åß∂ƒ©˙∆˚¬…æ,-1E2,true
250,"ثم نفس سقطت وبالتحديد،, جزيرتي باستخدام أن دنو. إذ هنا؟ الستار وتنصيب كان. أهّل ايطاليا، بريطانيا-فرنسا قد أخذ. سليمان، إتفاقية بين ما, يذكر الحدود أي بعد, معاملة بولندا، الإطلاق عل إيو.",-1/2, ,true
251,00˙Ɩ$-,ヽ༼ຈل͜ຈ༽ﾉ ヽ༼ຈل͜ຈ༽ﾉ ,Z̮̞̠͙͔ͅḀ̗̞͈̻̗Ḷ͙͎̯̹̞͓G̻O̭̗̮,true
252,1;DROP TABLE users,!@#$%^&*(),-$1.00,true
253,✋🏿 💪🏿 👐🏿 🙌🏿 👏🏿 🙏🏿,👩🏽,​,true
254,(╯°□°）╯︵ ┻━┻)  ,/dev/null; touch /tmp/blns.fail ; echo,사회과학원 어학연구소,false
255,nil,❤️ 💔 💌 💕 💞 💓 💗 💖 💘 💝 💟 💜 💛 💚 💙,1/2,false
256,・(￣∀￣)・:*:,😍,<svg><script>0<1>alert('XSS')</script>,false
257,˙ɐnbᴉlɐ ɐuƃɐɯ ǝɹolop ʇǝ ǝɹoqɐl ʇn ʇunpᴉpᴉɔuᴉ ɹodɯǝʇ poɯsnᴉǝ op pǝs 'ʇᴉlǝ ƃuᴉɔsᴉdᴉpɐ ɹnʇǝʇɔǝsuoɔ 'ʇǝɯɐ ʇᴉs ɹolop ɯnsdᴉ ɯǝɹo˥,😍,åß∂ƒ©˙∆˚¬…æ,false
258,⁰⁴⁵,../../../../../../../../../../../etc/hosts,١٢٣,false
259,1;DROP TABLE users,1;DROP TABLE users,-1E+02,true
260,-1E+02,Œ„´‰ˇÁ¨ˆØ∏”’,❤️ 💔 💌 💕 💞 💓 💗 💖 💘 💝 💟 💜 💛 💚 💙,true
261,⁰⁴⁵₀₁₂,"""""",-$1.00,true
262,"""'""'""''''""",<img src=x onerror=alert('hi') />,0/0,true
263,"""''''""'""",,!@#$%^&*(),true
264,・(￣∀￣)・:*:,₀₁₂,部落格,true
265,-1.00,ヽ༼ຈل͜ຈ༽ﾉ ヽ༼ຈل͜ຈ༽ﾉ ,`⁄€‹›ﬁﬂ‡°·‚—±,true
266,0️⃣ 1️⃣ 2️⃣ 3️⃣ 4️⃣ 5️⃣ 6️⃣ 7️⃣ 8️⃣ 9️⃣ 🔟,¸˛Ç◊ı˜Â¯˘¿,/dev/null; touch /tmp/blns.fail ; echo,false
267,",。・:*:・゜’( ☻ ω ☻ )。・:*:・゜’",₀₁₂,(｡◕ ∀ ◕｡),false
268,",./;'[]\-=",-$1.00,‫test‫,false
269,𠜎𠜱𠝹𠱓𠱸𠲖𠳏,"""",() { 0; }; touch /tmp/blns.shellshock1.fail;,false
270,¸˛Ç◊ı˜Â¯˘¿,␣,パーティーへ行かないか,false
271,部落格,åß∂ƒ©˙∆˚¬…æ,(ﾉಥ益ಥ）ﾉ﻿ ┻━┻,false
272,　,１２３,NIL,false
273,1E2,ﾟ･✿ヾ╲(｡◕‿◕｡)╱✿･ﾟ, ,true
274,NIL,᠎,｀ｨ(´∀｀∩,true
275,1;DROP TABLE users,和製漢語,NIL,false
276,😍,-1E2,₀₁₂,true
277,¸˛Ç◊ı˜Â¯˘¿,😍,NULL,false
278,"""",パーティーへ行かないか,田中さんにあげて下さい,true
279,'',̡͓̞ͅI̗̘̦͝n͇͇͙v̮̫ok̲̫̙͈i̖͙̭̹̠̞n̡̻̮̣̺g̲͈͙̭͙̬͎ ̰t͔̦h̞̲e̢̤ ͍̬̲͖f̴̘͕̣è͖ẹ̥̩l͖͔͚i͓͚̦͠n͖͍̗͓̳̮g͍ ̨o͚̪͡f̘̣̬ ̖̘͖̟͙̮c҉͔̫͖͓͇͖ͅh̵̤̣͚͔á̗̼͕ͅo̼̣̥s̱͈̺̖̦̻͢.̛̖̞̠̫̰,`⁄€‹›ﬁﬂ‡°·‚—±,true
280,1E02,הָיְתָהtestالصفحات التّحول,1'; DROP TABLE users--,true
281,!@#$%^&*(),👾 🙇 💁 🙅 🙆 🙋 🙎 🙍 ,'',true
282,(╯°□°）╯︵ ┻━┻)  ,‫test‫,test⁠test‫,false
283,1'; DROP TABLE users--,"""""",!@#$%^&*(),true
284,-1/2,̦H̬̤̗̤͝e͜ ̜̥̝̻͍̟́w̕h̖̯͓o̝͙̖͎̱̮ ҉̺̙̞̟͈W̷̼̭a̺̪͍į͈͕̭͙̯̜t̶̼̮s̘͙͖̕ ̠̫̠B̻͍͙͉̳ͅe̵h̵̬͇̫͙i̹͓̳̳̮͎̫̕n͟d̴̪̜̖ ̰͉̩͇͙̲͞ͅT͖̼͓̪͢h͏͓̮̻e̬̝̟ͅ ̤̹̝W͙̞̝͔͇͝ͅa͏͓͔̹̼̣l̴͔̰̤̟͔ḽ̫.͕,"'""'",false
285,0/0,הָיְתָהtestالصفحات التّحول,../../../../../../../../../../../etc/hosts,true
286,😍,../../../../../../../../../../../etc/passwd%00,𠜎𠜱𠝹𠱓𠱸𠲖𠳏,false
287,<script>alert('hi')</script>,Z̮̞̠͙͔ͅḀ̗̞͈̻̗Ḷ͙͎̯̹̞͓G̻O̭̗̮,Z̮̞̠͙͔ͅḀ̗̞͈̻̗Ḷ͙͎̯̹̞͓G̻O̭̗̮,true
288,"<>?:""{}|_+",<script>alert('hi')</script>,١٢٣,false
289,␣,0.00,1/0,false
290, ,NIL,😍,false
291,1;DROP TABLE users,"'""'",$1.00,false
292,<script>alert('hi')</script>, ,-1.00,false
293,1;DROP TABLE users,Ω≈ç√∫˜µ≤≥÷,社會科學院語學研究所,true
294,nil,1E02,$1.00,false
295,˙ɐnbᴉlɐ ɐuƃɐɯ ǝɹolop ʇǝ ǝɹoqɐl ʇn ʇunpᴉpᴉɔuᴉ ɹodɯǝʇ poɯsnᴉǝ op pǝs 'ʇᴉlǝ ƃuᴉɔsᴉdᴉpɐ ɹnʇǝʇɔǝsuoɔ 'ʇǝɯɐ ʇᴉs ɹolop ɯnsdᴉ ɯǝɹo˥,̗̺͖̹̯͓Ṯ̤͍̥͇͈h̲́e͏͓̼̗̙̼̣͔ ͇̜̱̠͓͍ͅN͕͠e̗̱z̘̝̜̺͙p̤̺̹͍̯͚e̠̻̠͜r̨̤͍̺̖͔̖̖d̠̟̭̬̝͟i̦͖̩͓͔̤a̠̗̬͉̙n͚͜ ̻̞̰͚ͅh̵͉i̳̞v̢͇ḙ͎͟-҉̭̩̼͔m̤̭̫i͕͇̝̦n̗͙ḍ̟ ̯̲͕͞ǫ̟̯̰̲͙̻̝f ̪̰̰̗̖̭̘͘c̦͍̲̞͍̩̙ḥ͚a̮͎̟̙͜ơ̩̹͎s̤.̝̝ ҉Z̡̖̜͖̰̣͉̜a͖̰͙̬͡l̲̫̳͍̩g̡̟̼̱͚̞̬ͅo̗͜.̟,❤️ 💔 💌 💕 💞 💓 💗 💖 💘 💝 💟 💜 💛 💚 💙,true
296,"<>?:""{}|_+",Ω≈ç√∫˜µ≤≥÷,1E2,false
297,¡™£¢∞§¶•ªº–≠,"'""'",✋🏿 💪🏿 👐🏿 🙌🏿 👏🏿 🙏🏿,false
298,(ﾉಥ益ಥ）ﾉ﻿ ┻━┻,Œ„´‰ˇÁ¨ˆØ∏”’,999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999,true
299,​,᠎,1;DROP TABLE users,true
300,(╯°□°）╯︵ ┻━┻)  ,null,😍,true
301,<script>alert('hi')</script>,‫test‫,<svg><script>0<1>alert('XSS')</script>,false
302,ヽ༼ຈل͜ຈ༽ﾉ ヽ༼ຈل͜ຈ༽ﾉ ,-1E02,"בְּרֵאשִׁית, בָּרָא אֱלֹהִים, אֵת הַשָּׁמַיִם, וְאֵת הָאָרֶץ",true
303, ,',../../../../../../../../../../../etc/passwd%00,false
304,1,null,-1E+02,true
305,１２３,NIL,1.00,true
306,null,👾 🙇 💁 🙅 🙆 🙋 🙎 🙍 ,1,false
307,-1,<script>alert('hi')</script>,הָיְתָהtestالصفحات التّحول,true
308,᠎,̗̺͖̹̯͓Ṯ̤͍̥͇͈h̲́e͏͓̼̗̙̼̣͔ ͇̜̱̠͓͍ͅN͕͠e̗̱z̘̝̜̺͙p̤̺̹͍̯͚e̠̻̠͜r̨̤͍̺̖͔̖̖d̠̟̭̬̝͟i̦͖̩͓͔̤a̠̗̬͉̙n͚͜ ̻̞̰͚ͅh̵͉i̳̞v̢͇ḙ͎͟-҉̭̩̼͔m̤̭̫i͕͇̝̦n̗͙ḍ̟ ̯̲͕͞ǫ̟̯̰̲͙̻̝f ̪̰̰̗̖̭̘͘c̦͍̲̞͍̩̙ḥ͚a̮͎̟̙͜ơ̩̹͎s̤.̝̝ ҉Z̡̖̜͖̰̣͉̜a͖̰͙̬͡l̲̫̳͍̩g̡̟̼̱͚̞̬ͅo̗͜.̟,｀ｨ(´∀｀∩,true
309,⁦test⁧,Œ„´‰ˇÁ¨ˆØ∏”’,Ṱ̺̺̕o͞ ̷i̲̬͇̪͙n̝̗͕v̟̜̘̦͟o̶̙̰̠kè͚̮̺̪̹̱̤ ̖t̝͕̳̣̻̪͞h̼͓̲̦̳̘̲e͇̣̰̦̬͎ ̢̼̻̱̘h͚͎͙̜̣̲ͅi̦̲̣̰̤v̻͍e̺̭̳̪̰-m̢iͅn̖̺̞̲̯̰d̵̼̟͙̩̼̘̳ ̞̥̱̳̭r̛̗̘e͙p͠r̼̞̻̭̗e̺̠̣͟s̘͇̳͍̝͉e͉̥̯̞̲͚̬͜ǹ̬͎͎̟̖͇̤t͍̬̤͓̼̭͘ͅi̪̱n͠g̴͉ ͏͉ͅc̬̟h͡a̫̻̯͘o̫̟̖͍̙̝͉s̗̦̲.̨̹͈̣,false
310,"""''''""'""",̡͓̞ͅI̗̘̦͝n͇͇͙v̮̫ok̲̫̙͈i̖͙̭̹̠̞n̡̻̮̣̺g̲͈͙̭͙̬͎ ̰t͔̦h̞̲e̢̤ ͍̬̲͖f̴̘͕̣è͖ẹ̥̩l͖͔͚i͓͚̦͠n͖͍̗͓̳̮g͍ ̨o͚̪͡f̘̣̬ ̖̘͖̟͙̮c҉͔̫͖͓͇͖ͅh̵̤̣͚͔á̗̼͕ͅo̼̣̥s̱͈̺̖̦̻͢.̛̖̞̠̫̰,-1/2,true
311,1E02,"<>?:""{}|_+",åß∂ƒ©˙∆˚¬…æ,false
312,⁰⁴⁵₀₁₂,00˙Ɩ$-,!@#$%^&*(),false
313,​,␣,1.00,false
314,NIL,👾 🙇 💁 🙅 🙆 🙋 🙎 🙍 ,-1E2,true
315,和製漢語,ﾟ･✿ヾ╲(｡◕‿◕｡)╱✿･ﾟ,"""""",false
316,"""''''""'""","""",0.00,false
317,¡™£¢∞§¶•ªº–≠,',1E2,true
318,﻿,0/0,œ∑´®†¥¨ˆøπ“‘,true
